
========================================================================
逐层:注意力峰值是否压在该指令自己的物体上   前 10 帧 × 4 条指令 = 40 次
  随机基线 = 目标物平均占据 10.1% 的格 ⇒ 约 4.0/40
========================================================================
  层 | 逐帧命中     | 命中率
    0 |  0/40                                |   0.0%
    1 |  0/40                                |   0.0%
    2 |  5/40 ████                           |  12.5%
    3 | 12/40 █████████                      |  30.0%
    4 | 21/40 ████████████████               |  52.5%
    5 | 38/40 ████████████████████████████   |  95.0%
    6 | 11/40 ████████                       |  27.5%
    7 | 20/40 ███████████████                |  50.0%
    8 | 36/40 ███████████████████████████    |  90.0%
    9 | 14/40 ██████████                     |  35.0%
   10 | 33/40 █████████████████████████      |  82.5%
   11 | 12/40 █████████                      |  30.0%
   12 | 22/40 ████████████████               |  55.0%
   13 |  4/40 ███                            |  10.0%
   14 |  2/40 ██                             |   5.0%
   15 |  2/40 ██                             |   5.0%
   16 |  0/40                                |   0.0%
   17 |  1/40 █                              |   2.5%
